分类数,聚合系数
1,205.1820785
2,150.490358
3,130.7827552
4,116.8038669
5,108.4161383
6,101.730471
7,96.70234445
8,92.76423933
9,89.38050634
10,86.09814235
11,83.0512727
12,80.23986935
13,77.56330468
14,75.2922161
15,73.20420868
16,71.18652861
17,69.27372292
18,67.38643296
19,65.73244515
20,64.13070305
21,62.55131852
22,61.02490311
23,59.52529516
24,58.10231551
25,56.70230666
26,55.37568463
27,54.08346385
28,52.81641364
29,51.5788768
30,50.36160671
31,49.16388846
32,47.97790758
33,46.80969286
34,45.67925303
35,44.58639802
36,43.613254
37,42.65531298
38,41.74101308
39,40.8996537
40,40.06696916
41,39.23502936
42,38.43064296
43,37.6410434
44,36.88238515
45,36.13475874
46,35.40458646
47,34.68154415
48,33.96610076
49,33.27631489
50,32.58794514
51,31.94425495
52,31.31025213
53,30.69966468
54,30.09197178
55,29.4984666
56,28.92242143
57,28.35122947
58,27.79664753
59,27.27242835
60,26.75447222
61,26.23964354
62,25.73430936
63,25.2308118
64,24.72797185
65,24.23055517
66,23.74158331
67,23.25631883
68,22.78028485
69,22.31825543
70,21.8634085
71,21.40893013
72,20.95744751
73,20.51528166
74,20.07848212
75,19.64912978
76,19.22022607
77,18.80159866
78,18.38583056
79,17.97367753
80,17.56479689
81,17.15764064
82,16.75182243
83,16.34701743
84,15.94428188
85,15.54271839
86,15.14178498
87,14.74887614
88,14.36519968
89,13.98230698
90,13.60626803
91,13.24956605
92,12.89754496
93,12.54792038
94,12.20554292
95,11.8643324
96,11.52325562
97,11.19098547
98,10.85901881
99,10.52819154
100,10.19998558
101,9.881001255
102,9.569616968
103,9.260106075
104,8.956800527
105,8.654554666
106,8.355366648
107,8.066379658
108,7.779499726
109,7.494355127
110,7.210120383
111,6.92797961
112,6.646931126
113,6.36879306
114,6.102071502
115,5.836240084
116,5.577130114
117,5.324948147
118,5.083874006
119,4.845023879
120,4.606458289
121,4.371275333
122,4.13664497
123,3.911793801
124,3.693337523
125,3.476133614
126,3.261689359
127,3.050300654
128,2.847827764
129,2.650473535
130,2.457420989
131,2.265615785
132,2.078436531
133,1.896290884
134,1.715726082
135,1.53907832
136,1.366566721
137,1.196478441
138,1.034826571
139,0.881563769
140,0.731416097
141,0.590610838
142,0.453362973
143,0.32974491
144,0.211917083
145,0.099895493
